first_name,last_name,email,telephone,password
John,Automation,automation_inxxz_20260219163542@testmail.com,9999999999,Test@123
John,Automation,automation_oipwv_20260219164641@testmail.com,9999999999,Test@123
John,Automation,automation_wsdbj_20260219174506@testmail.com,9999999999,Test@123
John,Automation,automation_kcbwk_20260219175533@testmail.com,9999999999,Test@123
John,Automation,automation_tjjml_20260219175918@testmail.com,9999999999,Test@123
John,Automation,automation_kwwky_20260219180429@testmail.com,9999999999,Test@123
John,Automation,automation_xvpsh_20260219180614@testmail.com,9999999999,Test@123
John,Automation,automation_vlscb_20260219180739@testmail.com,9999999999,Test@123
John,Automation,automation_cedxh_20260219181322@testmail.com,9999999999,Test@123
John,Automation,automation_jwqyn_20260219181552@testmail.com,9999999999,Test@123
John,Automation,automation_atphf_20260219182145@testmail.com,9999999999,Test@123
John,Automation,automation_jtvbt_20260219182757@testmail.com,9999999999,Test@123
John,Automation,automation_evlsu_20260219183211@testmail.com,9999999999,Test@123
John,Automation,automation_olrfz_20260220095318@testmail.com,9999999999,Test@123
John,Automation,automation_udxkh_20260220101604@testmail.com,9999999999,Test@123
John,Automation,automation_okodp_20260220102224@testmail.com,9999999999,Test@123
John,Automation,automation_ujyxk_20260220103102@testmail.com,9999999999,Test@123
John,Automation,automation_sgrly_20260220103700@testmail.com,9999999999,Test@123
